Date,Close/Last,Volume,Open,High,Low
05/19/2025,$84.61,9568067,$84.45,$85.14,$84.11
05/16/2025,$85.57,13109490,$86.62,$86.91,$84.275
05/15/2025,$87.26,13721890,$86.54,$87.78,$85.82
05/14/2025,$86.535,12741550,$86.71,$87.63,$85.74
05/13/2025,$86.88,11533700,$85.87,$87.14,$85.10
05/12/2025,$85.67,17241550,$83.65,$86.54,$83.64
05/09/2025,$80.30,8210711,$82.41,$82.67,$80.20
05/08/2025,$82.19,8759817,$83.34,$83.60,$81.69
05/07/2025,$82.71,8227253,$82.97,$83.23,$82.14
05/06/2025,$82.78,10709520,$81.00,$83.37,$80.61
05/05/2025,$81.66,13361870,$83.995,$84.078,$81.59
05/02/2025,$84.69,13512930,$82.59,$84.83,$82.05
05/01/2025,$82.01,18326730,$80.71,$82.705,$80.27
04/30/2025,$80.05,41297030,$76.37,$80.28,$75.50
04/29/2025,$84.85,16356940,$83.64,$85.07,$83.20
04/28/2025,$83.90,7091355,$84.33,$85.055,$83.27
04/25/2025,$83.81,5799429,$83.63,$83.99,$82.46
04/24/2025,$83.86,6798096,$82.39,$84.14,$81.58
04/23/2025,$82.81,9114434,$84.00,$85.74,$82.65
04/22/2025,$81.75,10408580,$81.91,$83.49,$81.62
04/21/2025,$80.68,10595620,$80.36,$80.82,$78.13
